18,Rallet,Aqua Mystique Rallet for women,citrus,130,fresh spicy,71,aromatic,57,green,45,white floral,24,,,1,100,1,1,100,100,1,100,
19,Rallet,Flou Artistique Rallet for women,woody,130,powdery,125,balsamic,107,floral,75,fruity,73,musky,72,50,1,1,100,50,50,100,50,
20,Rallet,Sada Yakko Rallet for women,floral,130,citrus,100,white floral,100,powdery,97,balsamic,77,herbal,70,1,1,1,1,1,1,1,1,
21,Rallet,Soir Antique Rallet for women and men,woody,130,white floral,78,balsamic,61,tuberose,44,powdery,44,citrus,44,1,1,1,1,1,1,1,1,
22,Rallet,Spectre Noir Rallet for women,woody,130,citrus,123,aromatic,114,leather,67,herbal,61,earthy,59,100,50,1,50,1,1,50,1,
23,Ralph Lauren,Big Pony 1 Ralph Lauren for men,citrus,130,woody,53,conifer,25,fresh spicy,22,aromatic,17,green,17,28,100,42,5,28,63,9,64,
24,Ralph Lauren,Big Pony 2 Ralph Lauren for men,cacao,130,musky,115,warm spicy,109,sweet,104,,,,,27,100,67,40,20,10,46,50,
25,Ralph Lauren,Big Pony 3 Ralph Lauren for men,fresh spicy,130,green,87,aromatic,61,,,,,,,35,100,42,6,53,58,10,67,
26,Ralph Lauren,Big Pony 4 Ralph Lauren for men,citrus,130,woody,85,fruity,13,fresh,13,fresh spicy,13,,,25,100,38,8,42,53,20,66,
27,Ralph Lauren,Chaps Ralph Lauren for men,woody,130,aromatic,113,warm spicy,96,earthy,75,leather,69,,,72,100,50,43,16,8,50,37,
28,Ralph Lauren,Chaps 2007 Ralph Lauren for men,aromatic,130,musky,100,fresh spicy,82,warm spicy,74,citrus,54,floral,49,100,28,42,71,14,1,42,42,
1,Abbott New York City,Mojave Abbott New York City for women and men,fresh spicy,130,tobacco,56,warm spicy,31,sweet,22,leather,14,,,50,75,25,75,75,50,100,50,
2,Abbott New York City,Sequoia Abbott New York City for women and men,woody,130,balsamic,128,smoky,83,warm spicy,56,fresh spicy,35,,,14,100,1,57,57,14,71,57,
3,Abbott New York City,Telluride Abbott New York City for women and men,balsamic,130,warm spicy,111,amber,95,aromatic,95,powdery,86,woody,79,20,40,60,80,60,20,100,20,
4,Abbott New York City,The Cape Abbott New York City for women and men,fresh spicy,130,warm spicy,92,woody,58,citrus,51,earthy,50,,,1,100,100,1,100,66,100,100,
5,Abdul Karim Al Faransi,Oud Abiyad Origins Abdul Karim Al Faransi for women and men,citrus,130,fresh spicy,61,amber,44,musky,44,woody,44,oud,44,1,100,1,1,100,100,1,100,
6,Abdul Karim Al Faransi,Oud Assam Abdul Karim Al Faransi for women and men,woody,130,warm spicy,91,oud,65,balsamic,46,powdery,39,,,100,1,1,1,100,50,100,100,
7,Abdul Karim Al Faransi,Oud Abyad Abdul Karim Al Faransi for women and men,citrus,130,fresh spicy,72,musky,72,woody,58,green,52,,,100,33,33,50,83,66,83,83,
8,Abdul Karim Al Faransi,Oud Al Amir Abdul Karim Al Faransi for men,honey,130,sweet,121,caramel,89,woody,89,fruity,41,floral,39,100,23,5,52,17,5,41,11,
9,Abdul Karim Al Faransi,Oud Borneo Abdul Karim Al Faransi for men,oud,130,woody,100,patchouli,60,vanilla,40,warm spicy,30,,,100,33,16,66,1,1,66,33,
10,Abdul Karim Al Faransi,Oud Cambodi Abdul Karim Al Faransi for men,balsamic,130,oud,87,woody,43,sweet,43,smoky,35,,,100,33,1,66,50,1,66,50,
11,Abdul Karim Al Faransi,Oud Hindi Royal Abdul Karim Al Faransi for men,sweet,130,woody,119,cacao,80,honey,66,fruity,40,,,80,100,1,80,20,1,80,20,
12,Abdul Karim Al Faransi,Oud Kalimantan Abdul Karim Al Faransi for men,oud,130,balsamic,109,woody,108,patchouli,76,warm spicy,73,smoky,69,100,50,1,75,25,25,75,50,
13,Abdul Karim Al Faransi,Amber 4000 Abdul Karim Al Faransi for men,warm spicy,130,amber,109,woody,75,balsamic,74,powdery,61,,,100,1,1,42,57,42,71,42,
14,Abdul Karim Al Faransi,Amber Afghani Abdul Karim Al Faransi for men,amber,130,warm spicy,107,oud,84,animalic,52,leather,37,green,37,100,28,1,57,28,1,71,14,
15,Abdul Karim Al Faransi,Amber Ash-Sheikh Abdul Karim Al Faransi for men,oud,130,amber,91,woody,78,musky,52,animalic,36,,,100,40,1,80,20,1,100,20,
16,Abdul Karim Al Faransi,AKAF-47 Abdul Karim Al Faransi for men,woody,130,patchouli,72,earthy,62,green,60,aromatic,52,,,100,1,1,1,50,25,25,50,
17,Abdul Karim Al Faransi,Al Quds Abdul Karim Al Faransi for women and men,musky,130,balsamic,124,amber,111,patchouli,93,warm spicy,76,smoky,76,100,1,1,80,40,20,60,20,
